Entry	Entry name	Status	Protein names	Gene names	Organism	Date of creation	Date of last modification	Gene ontology (biological process)	Gene ID	Cross-reference (PDB)
Q14012	KCC1A_HUMAN	reviewed	Calcium/calmodulin-dependent protein kinase type 1 (EC 2.7.11.17) (CaM kinase I) (CaM-KI) (CaM kinase I alpha) (CaMKI-alpha)	CAMK1	Homo sapiens (Human)	1998-07-15	2019-01-16	cell cycle [GO:0007049]; negative regulation of protein binding [GO:0032091]; nucleocytoplasmic transport [GO:0006913]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of muscle cell differentiation [GO:0051149]; positive regulation of neuron projection development [GO:0010976]; positive regulation of peptidyl-serine phosphorylation [GO:0033138]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein export from nucleus [GO:0046827]; positive regulation of protein serine/threonine kinase activity [GO:0071902]; positive regulation of synapse structural plasticity [GO:0051835]; positive regulation of syncytium formation by plasma membrane fusion [GO:0060143]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of muscle cell differentiation [GO:0051147]; regulation of protein binding [GO:0043393]; regulation of protein localization [GO:0032880]; signal transduction [GO:0007165]	8536	4FG8
O14531	DPYL4_HUMAN	reviewed	Dihydropyrimidinase-related protein 4 (DRP-4) (Collapsin response mediator protein 3) (CRMP-3) (UNC33-like phosphoprotein 4) (ULIP-4)	DPYSL4 CRMP3 ULIP4	Homo sapiens (Human)	1998-07-15	2019-01-16	nervous system development [GO:0007399]; neuron death [GO:0070997]; neuron projection guidance [GO:0097485]	10570	5NKS
Q14186	TFDP1_HUMAN	reviewed	Transcription factor Dp-1 (DRTF1-polypeptide 1) (DRTF1) (E2F dimerization partner 1)	TFDP1 DP1	Homo sapiens (Human)	1998-07-15	2019-01-16	anoikis [GO:0043276]; cell proliferation [GO:0008283]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; epidermis development [GO:0008544]; negative regulation of fat cell proliferation [GO:0070345]; negative regulation of G0 to G1 transition [GO:0070317]; positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway [GO:1900740]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA biosynthetic process [GO:2000278]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]	7027	5GOW
Q99801	NKX31_HUMAN	reviewed	Homeobox protein Nkx-3.1 (Homeobox protein NK-3 homolog A)	NKX3-1 NKX3.1 NKX3A	Homo sapiens (Human)	1998-07-15	2019-01-16	activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; androgen receptor signaling pathway [GO:0030521]; branching involved in prostate gland morphogenesis [GO:0060442]; branching morphogenesis of an epithelial tube [GO:0048754]; cellular response to drug [GO:0035690]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-1 [GO:0071347]; cellular response to steroid hormone stimulus [GO:0071383]; cellular response to tumor necrosis factor [GO:0071356]; dorsal aorta development [GO:0035907]; epithelial cell proliferation involved in salivary gland morphogenesis [GO:0060664]; heart development [GO:0007507]; male gonad development [GO:0008584]; metanephros development [GO:0001656]; mitotic cell cycle arrest [GO:0071850]; multicellular organism development [GO:0007275]; negative regulation of cell proliferation [GO:0008285]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of epithelial cell proliferation involved in prostate gland development [GO:0060770]; negative regulation of estrogen receptor binding [GO:0071899]; negative regulation of gene expression [GO:0010629]; negative regulation of insulin-like growth factor receptor signaling pathway [GO:0043569]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of transcription, DNA-templated [GO:0045892]; pharyngeal system development [GO:0060037]; positive regulation of androgen secretion [GO:2000836]; positive regulation of apoptotic signaling pathway [GO:2001235]; positive regulation of cell death [GO:0010942]; positive regulation of cell division [GO:0051781]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043280]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of mitotic cell cycle [GO:0045931]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of response to DNA damage stimulus [GO:2001022]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein kinase B signaling [GO:0043491]; regulation of protein localization [GO:0032880]; regulation of transcription, DNA-templated [GO:0006355]; response to testosterone [GO:0033574]; salivary gland development [GO:0007431]; somitogenesis [GO:0001756]	4824	2L9R
Q13438	OS9_HUMAN	reviewed	Protein OS-9 (Amplified in osteosarcoma 9)	OS9	Homo sapiens (Human)	1998-07-15	2019-01-16	endoplasmic reticulum mannose trimming [GO:1904380]; negative regulation of retrograde protein transport, ER to cytosol [GO:1904153]; protein retention in ER lumen [GO:0006621]; protein targeting [GO:0006605]; protein ubiquitination [GO:0016567]; response to endoplasmic reticulum stress [GO:0034976]; retrograde protein transport, ER to cytosol [GO:0030970]; transmembrane transport [GO:0055085]; ubiquitin-dependent ERAD pathway [GO:0030433]; ubiquitin-dependent protein catabolic process [GO:0006511]	10956	3AIH
Q13033	STRN3_HUMAN	reviewed	Striatin-3 (Cell cycle autoantigen SG2NA) (S/G2 antigen)	STRN3 GS2NA SG2NA	Homo sapiens (Human)	1998-07-15	2019-01-16	negative regulation of intracellular estrogen receptor signaling pathway [GO:0033147]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription by RNA polymerase II [GO:0045944]; response to estradiol [GO:0032355]	29966	4N6J
Q13206	DDX10_HUMAN	reviewed	Probable ATP-dependent RNA helicase DDX10 (EC 3.6.4.13) (DEAD box protein 10)	DDX10	Homo sapiens (Human)	1998-07-15	2019-01-16	anterior head development [GO:0097065]	1662	2PL3
Q99616	CCL13_HUMAN	reviewed	C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13) [Cleaved into: C-C motif chemokine 13, long chain; C-C motif chemokine 13, medium chain; C-C motif chemokine 13, short chain]	CCL13 MCP4 NCC1 SCYA13	Homo sapiens (Human)	1998-07-15	2019-01-16	antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cell-cell signaling [GO:0007267]; cellular calcium ion homeostasis [GO:0006874]; cellular response to interferon-gamma [GO:0071346]; cellular response to interleukin-1 [GO:0071347]; cellular response to tumor necrosis factor [GO:0071356]; chemokine-mediated signaling pathway [GO:0070098]; chemotaxis [GO:0006935]; cytoskeleton organization [GO:0007010]; eosinophil chemotaxis [GO:0048245]; G protein-coupled receptor signaling pathway [GO:0007186]; inflammatory response [GO:0006954]; killing of cells of other organism [GO:0031640]; lymphocyte chemotaxis [GO:0048247]; monocyte chemotaxis [GO:0002548]; neutrophil chemotaxis [GO:0030593]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of GTPase activity [GO:0043547]; regulation of cell shape [GO:0008360]; signal transduction [GO:0007165]	6357	2RA4
Q14195	DPYL3_HUMAN	reviewed	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	DPYSL3 CRMP4 DRP3 ULIP ULIP1	Homo sapiens (Human)	1998-07-15	2019-01-16	actin crosslink formation [GO:0051764]; actin filament bundle assembly [GO:0051017]; cellular response to cytokine stimulus [GO:0071345]; negative regulation of cell migration [GO:0030336]; negative regulation of neuron projection development [GO:0010977]; neuron development [GO:0048666]; positive regulation of filopodium assembly [GO:0051491]; positive regulation of neuron projection development [GO:0010976]; protein homooligomerization [GO:0051260]; response to axon injury [GO:0048678]	1809	4BKN
Q15011	HERP1_HUMAN	reviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 1 protein (Methyl methanesulfonate (MMF)-inducible fragment protein 1)	HERPUD1 HERP KIAA0025 MIF1	Homo sapiens (Human)	1998-07-15	2019-01-16	endoplasmic reticulum calcium ion homeostasis [GO:0032469]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of intrinsic apoptotic signaling pathway [GO:2001243]; PERK-mediated unfolded protein response [GO:0036499]; positive regulation of ER-associated ubiquitin-dependent protein catabolic process [GO:1903071]; positive regulation of protein binding [GO:0032092]; regulation of protein ubiquitination [GO:0031396]; response to endoplasmic reticulum stress [GO:0034976]; response to unfolded protein [GO:0006986]; retrograde protein transport, ER to cytosol [GO:0030970]; ubiquitin-dependent protein catabolic process [GO:0006511]	9709	1WGD
Q15027	ACAP1_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)	ACAP1 CENTB1 KIAA0050	Homo sapiens (Human)	1998-07-15	2019-01-16	protein transport [GO:0015031]	9744	4NSW
P78543	BTG2_HUMAN	reviewed	Protein BTG2 (BTG family member 2) (NGF-inducible anti-proliferative protein PC3)	BTG2 PC3	Homo sapiens (Human)	1998-07-15	2019-01-16	anterior/posterior pattern specification [GO:0009952]; associative learning [GO:0008306]; cellular response to DNA damage stimulus [GO:0006974]; central nervous system neuron development [GO:0021954]; dentate gyrus development [GO:0021542]; DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest [GO:0006977]; DNA repair [GO:0006281]; negative regulation of cell proliferation [GO:0008285]; negative regulation of mitotic cell cycle [GO:0045930]; negative regulation of neural precursor cell proliferation [GO:2000178]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of translation [GO:0017148]; neuron projection development [GO:0031175]; positive regulation of nuclear-transcribed mRNA poly(A) tail shortening [GO:0060213]; protein methylation [GO:0006479]; response to electrical stimulus [GO:0051602]; response to mechanical stimulus [GO:0009612]; response to organic cyclic compound [GO:0014070]; response to peptide hormone [GO:0043434]; skeletal muscle cell differentiation [GO:0035914]	7832	3E9V
Q15697	ZN174_HUMAN	reviewed	Zinc finger protein 174 (AW-1) (Zinc finger and SCAN domain-containing protein 8)	ZNF174 ZSCAN8	Homo sapiens (Human)	1998-07-15	2019-01-16	negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]	7727	1Y7Q
O15379	HDAC3_HUMAN	reviewed	Histone deacetylase 3 (HD3) (EC 3.5.1.98) (RPD3-2) (SMAP45)	HDAC3	Homo sapiens (Human)	1998-07-15	2019-01-16	cellular response to fluid shear stress [GO:0071498]; chromatin organization [GO:0006325]; circadian rhythm [GO:0007623]; histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; negative regulation of apoptotic process [GO:0043066]; negative regulation of JNK cascade [GO:0046329]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of cold-induced thermogenesis [GO:0120162]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of TOR signaling [GO:0032008]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein deacetylation [GO:0006476]; regulation of lipid metabolic process [GO:0019216]; regulation of protein stability [GO:0031647]; spindle assembly [GO:0051225]	8841	4A69
O00399	DCTN6_HUMAN	reviewed	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6 WS3	Homo sapiens (Human)	1998-07-15	2019-01-16	antigen processing and presentation of exogenous peptide antigen via MHC class II [GO:0019886]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]	10671	3TV0
O00287	RFXAP_HUMAN	reviewed	Regulatory factor X-associated protein (RFX-associated protein) (RFX DNA-binding complex 36 kDa subunit)	RFXAP	Homo sapiens (Human)	1998-07-15	2019-01-16	positive regulation of transcription, DNA-templated [GO:0045893]	5994	2KW3
Q14847	LASP1_HUMAN	reviewed	LIM and SH3 domain protein 1 (LASP-1) (Metastatic lymph node gene 50 protein) (MLN 50)	LASP1 MLN50	Homo sapiens (Human)	1998-07-15	2019-01-16	ion transport [GO:0006811]	3927	3I35
Q15054	DPOD3_HUMAN	reviewed	DNA polymerase delta subunit 3 (DNA polymerase delta subunit C) (DNA polymerase delta subunit p66) (DNA polymerase delta subunit p68)	POLD3 KIAA0039	Homo sapiens (Human)	1998-07-15	2019-01-16	DNA damage response, detection of DNA damage [GO:0042769]; DNA synthesis involved in DNA repair [GO:0000731]; mismatch repair [GO:0006298]; nucleotide-excision repair, DNA gap filling [GO:0006297]; nucleotide-excision repair, DNA incision [GO:0033683]; nucleotide-excision repair, DNA incision, 5'-to lesion [GO:0006296]; telomere maintenance [GO:0000723]; telomere maintenance via semi-conservative replication [GO:0032201]; transcription-coupled nucleotide-excision repair [GO:0006283]; translesion synthesis [GO:0019985]	10714	2N1G
P55809	SCOT1_HUMAN	reviewed	Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial (EC 2.8.3.5) (3-oxoacid CoA-transferase 1) (Somatic-type succinyl-CoA:3-oxoacid CoA-transferase) (SCOT-s)	OXCT1 OXCT SCOT	Homo sapiens (Human)	1997-11-01	2019-01-16	adipose tissue development [GO:0060612]; brain development [GO:0007420]; cellular ketone body metabolic process [GO:0046950]; heart development [GO:0007507]; ketone body catabolic process [GO:0046952]; ketone catabolic process [GO:0042182]; positive regulation of insulin secretion involved in cellular response to glucose stimulus [GO:0035774]; response to activity [GO:0014823]; response to ethanol [GO:0045471]; response to hormone [GO:0009725]; response to nutrient [GO:0007584]; response to starvation [GO:0042594]	5019	3DLX
Q15583	TGIF1_HUMAN	reviewed	Homeobox protein TGIF1 (5'-TG-3'-interacting factor 1)	TGIF1 TGIF	Homo sapiens (Human)	1997-11-01	2019-01-16	cellular response to growth factor stimulus [GO:0071363]; multicellular organism development [GO:0007275]; negative regulation of transcription by RNA polymerase II [GO:0000122]; response to drug [GO:0042493]	7050	2LK2
O00451	GFRA2_HUMAN	reviewed	GDNF family receptor alpha-2 (GDNF receptor alpha-2) (GDNFR-alpha-2) (GFR-alpha-2) (GDNF receptor beta) (GDNFR-beta) (Neurturin receptor alpha) (NRTNR-alpha) (NTNR-alpha) (RET ligand 2) (TGF-beta-related neurotrophic factor receptor 2)	GFRA2 GDNFRB RETL2 TRNR2	Homo sapiens (Human)	1997-11-01	2019-01-16	axon guidance [GO:0007411]; MAPK cascade [GO:0000165]; nervous system development [GO:0007399]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]	2675	5MR5
Q14831	GRM7_HUMAN	reviewed	Metabotropic glutamate receptor 7 (mGluR7)	GRM7 GPRC1G MGLUR7	Homo sapiens (Human)	1997-11-01	2019-01-16	adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; chemical synaptic transmission [GO:0007268]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of glutamate secretion [GO:0014050]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of sound [GO:0007605]	2917	5C5C
P55769	NH2L1_HUMAN	reviewed	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) (OTK27) (SNU13 homolog) (hSNU13) (U4/U6.U5 small nuclear ribonucleoprotein SNU13) (U4/U6.U5 tri-snRNP 15.5 kDa protein) [Cleaved into: NHP2-like protein 1, N-terminally processed]	SNU13 NHP2L1	Homo sapiens (Human)	1997-11-01	2019-01-16	box C/D snoRNP assembly [GO:0000492]; maturation of LSU-rRNA [GO:0000470]; mRNA splicing, via spliceosome [GO:0000398]; rRNA processing [GO:0006364]; single fertilization [GO:0007338]	4809	2JNB
Q16831	UPP1_HUMAN	reviewed	Uridine phosphorylase 1 (UPase 1) (UrdPase 1) (EC 2.4.2.3)	UPP1 UP	Homo sapiens (Human)	1997-11-01	2019-01-16	cellular response to glucose starvation [GO:0042149]; nucleobase-containing compound metabolic process [GO:0006139]; nucleotide catabolic process [GO:0009166]; pyrimidine nucleoside catabolic process [GO:0046135]; pyrimidine nucleoside salvage [GO:0043097]; UMP salvage [GO:0044206]; uridine catabolic process [GO:0006218]	7378	3EUF
Q13574	DGKZ_HUMAN	reviewed	Diacylglycerol kinase zeta (DAG kinase zeta) (EC 2.7.1.107) (Diglyceride kinase zeta) (DGK-zeta)	DGKZ DAGK6	Homo sapiens (Human)	1997-11-01	2019-01-16	cell migration [GO:0016477]; diacylglycerol metabolic process [GO:0046339]; glycerolipid metabolic process [GO:0046486]; intracellular signal transduction [GO:0035556]; lipid phosphorylation [GO:0046834]; mitotic G1 DNA damage checkpoint [GO:0031571]; negative regulation of mitotic cell cycle [GO:0045930]; phosphatidic acid biosynthetic process [GO:0006654]; platelet activation [GO:0030168]; positive regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0090216]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]	8525	5ELQ
P78563	RED1_HUMAN	reviewed	Double-stranded RNA-specific editase 1 (EC 3.5.4.37) (RNA-editing deaminase 1) (RNA-editing enzyme 1) (dsRNA adenosine deaminase)	ADARB1 ADAR2 DRADA2 RED1	Homo sapiens (Human)	1997-11-01	2019-01-16	adenosine to inosine editing [GO:0006382]; base conversion or substitution editing [GO:0016553]; defense response to virus [GO:0051607]; facial nerve morphogenesis [GO:0021610]; hypoglossal nerve morphogenesis [GO:0021618]; innate immune response [GO:0045087]; innervation [GO:0060384]; motor behavior [GO:0061744]; motor neuron apoptotic process [GO:0097049]; mRNA processing [GO:0006397]; multicellular organism growth [GO:0035264]; muscle tissue morphogenesis [GO:0060415]; negative regulation of cell migration [GO:0030336]; negative regulation of cell proliferation [GO:0008285]; negative regulation of protein kinase activity by regulation of protein phosphorylation [GO:0044387]; neuromuscular process controlling posture [GO:0050884]; neuromuscular synaptic transmission [GO:0007274]; positive regulation of viral genome replication [GO:0045070]; regulation of cell cycle [GO:0051726]; RNA processing [GO:0006396]; spinal cord ventral commissure morphogenesis [GO:0021965]	104	1ZY7
Q13330	MTA1_HUMAN	reviewed	Metastasis-associated protein MTA1	MTA1	Homo sapiens (Human)	1997-11-01	2019-01-16	circadian regulation of gene expression [GO:0032922]; double-strand break repair [GO:0006302]; entrainment of circadian clock by photoperiod [GO:0043153]; histone deacetylation [GO:0016575]; locomotor rhythm [GO:0045475]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of protein autoubiquitination [GO:1902499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of gene expression, epigenetic [GO:0040029]; response to ionizing radiation [GO:0010212]; signal transduction [GO:0007165]	9112	4PBZ
Q92947	GCDH_HUMAN	reviewed	Glutaryl-CoA dehydrogenase, mitochondrial (GCD) (EC 1.3.8.6)	GCDH	Homo sapiens (Human)	1997-11-01	2019-01-16	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]; fatty-acyl-CoA biosynthetic process [GO:0046949]; lysine catabolic process [GO:0006554]; tryptophan metabolic process [GO:0006568]	2639	1SIQ
Q14764	MVP_HUMAN	reviewed	Major vault protein (MVP) (Lung resistance-related protein)	MVP LRP	Homo sapiens (Human)	1997-11-01	2019-01-16	ERBB signaling pathway [GO:0038127]; mRNA transport [GO:0051028]; negative regulation of protein autophosphorylation [GO:0031953]; negative regulation of protein tyrosine kinase activity [GO:0061099]; negative regulation of signaling [GO:0023057]; neutrophil degranulation [GO:0043312]; protein transport [GO:0015031]	9961	1Y7X
Q14168	MPP2_HUMAN	reviewed	MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)	MPP2 DLG2	Homo sapiens (Human)	1997-11-01	2019-01-16	excitatory postsynaptic potential [GO:0060079]; long-term synaptic potentiation [GO:0060291]; protein homooligomerization [GO:0051260]	4355	2E7K
Q13075	BIRC1_HUMAN	reviewed	Baculoviral IAP repeat-containing protein 1 (Neuronal apoptosis inhibitory protein)	NAIP BIRC1	Homo sapiens (Human)	1997-11-01	2019-01-16	inflammatory response [GO:0006954]; innate immune response [GO:0045087]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of neuron apoptotic process [GO:0043524]; nervous system development [GO:0007399]	4671	2VM5
Q13227	GPS2_HUMAN	reviewed	G protein pathway suppressor 2 (GPS-2)	GPS2	Homo sapiens (Human)	1997-11-01	2019-01-16	B cell differentiation [GO:0030183]; inactivation of MAPK activity [GO:0000188]; JNK cascade [GO:0007254]; negative regulation of B cell receptor signaling pathway [GO:0050859]; negative regulation of fat cell differentiation [GO:0045599]; negative regulation of inflammatory response [GO:0050728]; negative regulation of JNK cascade [GO:0046329]; negative regulation of protein K63-linked ubiquitination [GO:1900045]; negative regulation of toll-like receptor signaling pathway [GO:0034122]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of tumor necrosis factor-mediated signaling pathway [GO:0010804]; positive regulation of cholesterol efflux [GO:0010875]; positive regulation of peroxisome proliferator activated receptor signaling pathway [GO:0035360]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of fat cell differentiation [GO:0045598]; regulation of lipid metabolic process [GO:0019216]; response to mitochondrial depolarisation [GO:0098780]; viral process [GO:0016032]	2874	2L5G
Q99707	METH_HUMAN	reviewed	Methionine synthase (EC 2.1.1.13) (5-methyltetrahydrofolate--homocysteine methyltransferase) (Vitamin-B12 dependent methionine synthase) (MS)	MTR	Homo sapiens (Human)	1997-11-01	2019-01-16	axon regeneration [GO:0031103]; cellular response to nitric oxide [GO:0071732]; cobalamin metabolic process [GO:0009235]; methionine biosynthetic process [GO:0009086]; nervous system development [GO:0007399]; pteridine-containing compound metabolic process [GO:0042558]; response to axon injury [GO:0048678]	4548	2O2K
Q13144	EI2BE_HUMAN	reviewed	Translation initiation factor eIF-2B subunit epsilon (eIF-2B GDP-GTP exchange factor subunit epsilon)	EIF2B5 EIF2BE	Homo sapiens (Human)	1997-11-01	2019-01-16	aging [GO:0007568]; astrocyte development [GO:0014002]; astrocyte differentiation [GO:0048708]; hippocampus development [GO:0021766]; myelination [GO:0042552]; oligodendrocyte development [GO:0014003]; ovarian follicle development [GO:0001541]; positive regulation of apoptotic process [GO:0043065]; positive regulation of translational initiation [GO:0045948]; response to endoplasmic reticulum stress [GO:0034976]; response to glucose [GO:0009749]; response to heat [GO:0009408]; response to lithium ion [GO:0010226]; response to peptide hormone [GO:0043434]; T cell receptor signaling pathway [GO:0050852]; translational initiation [GO:0006413]	8893	3JUI
Q99439	CNN2_HUMAN	reviewed	Calponin-2 (Calponin H2, smooth muscle) (Neutral calponin)	CNN2	Homo sapiens (Human)	1997-11-01	2019-01-16	actomyosin structure organization [GO:0031032]; cellular response to mechanical stimulus [GO:0071260]; cytoskeleton organization [GO:0007010]; interleukin-12-mediated signaling pathway [GO:0035722]; neutrophil degranulation [GO:0043312]; regulation of actin filament-based process [GO:0032970]	1265	1WYN
Q16281	CNGA3_HUMAN	reviewed	Cyclic nucleotide-gated cation channel alpha-3 (Cone photoreceptor cGMP-gated channel subunit alpha) (Cyclic nucleotide-gated channel alpha-3) (CNG channel alpha-3) (CNG-3) (CNG3)	CNGA3 CNCG3	Homo sapiens (Human)	1997-11-01	2019-01-16	cation transport [GO:0006812]; inorganic cation import across plasma membrane [GO:0098659]; response to cAMP [GO:0051591]; response to corticosteroid [GO:0031960]; response to magnesium ion [GO:0032026]; signal transduction [GO:0007165]; visual perception [GO:0007601]	1261	3SWY
Q13613	MTMR1_HUMAN	reviewed	Myotubularin-related protein 1 (Phosphatidylinositol-3,5-bisphosphate 3-phosphatase) (EC 3.1.3.95) (Phosphatidylinositol-3-phosphate phosphatase) (EC 3.1.3.64)	MTMR1	Homo sapiens (Human)	1997-11-01	2019-01-16	phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol dephosphorylation [GO:0046856]; regulation of phosphatidylinositol dephosphorylation [GO:0060304]	8776	5C16
Q16568	CART_HUMAN	reviewed	Cocaine- and amphetamine-regulated transcript protein [Cleaved into: CART(1-39); CART(42-89)]	CARTPT CART	Homo sapiens (Human)	1997-11-01	2019-01-16	activation of MAPKK activity [GO:0000186]; adult feeding behavior [GO:0008343]; cell-cell signaling [GO:0007267]; cellular glucose homeostasis [GO:0001678]; cellular response to starvation [GO:0009267]; chemical synaptic transmission [GO:0007268]; circadian regulation of gene expression [GO:0032922]; G protein-coupled receptor signaling pathway [GO:0007186]; negative regulation of appetite [GO:0032099]; negative regulation of bone resorption [GO:0045779]; negative regulation of glucagon secretion [GO:0070093]; negative regulation of osteoclast differentiation [GO:0045671]; neuropeptide signaling pathway [GO:0007218]; positive regulation of blood pressure [GO:0045777]; positive regulation of epinephrine secretion [GO:0032812]; positive regulation of transmission of nerve impulse [GO:0051971]; regulation of insulin secretion [GO:0050796]; signal transduction [GO:0007165]; somatostatin secretion [GO:0070253]	9607	1HY9
Q16760	DGKD_HUMAN	reviewed	Diacylglycerol kinase delta (DAG kinase delta) (EC 2.7.1.107) (130 kDa diacylglycerol kinase) (Diglyceride kinase delta) (DGK-delta)	DGKD KIAA0145	Homo sapiens (Human)	1997-11-01	2019-01-16	diacylglycerol metabolic process [GO:0046339]; endocytosis [GO:0006897]; epidermal growth factor receptor signaling pathway [GO:0007173]; glycerolipid metabolic process [GO:0046486]; lipid phosphorylation [GO:0046834]; multicellular organism development [GO:0007275]; platelet activation [GO:0030168]; protein homooligomerization [GO:0051260]; protein kinase C-activating G protein-coupled receptor signaling pathway [GO:0007205]; protein transport [GO:0015031]; response to organic substance [GO:0010033]; second-messenger-mediated signaling [GO:0019932]; signal transduction [GO:0007165]	8527	1R79
P55347	PKNX1_HUMAN	reviewed	Homeobox protein PKNOX1 (Homeobox protein PREP-1) (PBX/knotted homeobox 1)	PKNOX1 PREP1	Homo sapiens (Human)	1997-11-01	2019-01-16	angiogenesis [GO:0001525]; camera-type eye development [GO:0043010]; erythrocyte differentiation [GO:0030218]; T cell differentiation [GO:0030217]; transcription by RNA polymerase II [GO:0006366]	5316	1X2N
Q13255	GRM1_HUMAN	reviewed	Metabotropic glutamate receptor 1 (mGluR1)	GRM1 GPRC1A MGLUR1	Homo sapiens (Human)	1997-11-01	2019-01-16	activation of MAPK activity [GO:0000187]; activation of MAPKK activity [GO:0000186]; cellular response to electrical stimulus [GO:0071257]; chemical synaptic transmission [GO:0007268]; G protein-coupled glutamate receptor signaling pathway [GO:0007216]; G protein-coupled receptor signaling pathway [GO:0007186]; locomotory behavior [GO:0007626]; positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway [GO:0051482]; regulation of sensory perception of pain [GO:0051930]; regulation of synaptic transmission, glutamatergic [GO:0051966]; sensory perception of pain [GO:0019233]	2911	3KS9
Q14914	PTGR1_HUMAN	reviewed	Prostaglandin reductase 1 (PRG-1) (EC 1.3.1.-) (15-oxoprostaglandin 13-reductase) (EC 1.3.1.48) (NADP-dependent leukotriene B4 12-hydroxydehydrogenase) (EC 1.3.1.74)	PTGR1 LTB4DH	Homo sapiens (Human)	1997-11-01	2019-01-16	leukotriene metabolic process [GO:0006691]; response to antineoplastic agent [GO:0097327]	22949	2Y05
